"visit_date";"day";"time";"house_id";"neighbourhood";"visitor";"agent";"review";"building";"conservation";"size";"price";"location";"did_not_like_the_location";"expected_a_better_preserved_property";"bigger_in_photos";"different_from_the_listing";"others"
"2018-03-29";"2018-03-29";"12:00";892,770,690;Centro;Thamy;Amaro;"5";true;true;true;true;true;false;false;false;false;
"2018-03-29";"2018-03-29";"12:45";892,790,581;Centro;Ricardo;Amaro;"5";false;false;false;false;true;false;false;false;false;
"2018-03-27";"2018-03-27";"9:00";892,804,142;Liberdade;Franco;Aparecido;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-03-29";"2018-03-29";"15:30";892,793,688;Vila Mascote;#VALUE!;Ibiratan;"3";false;false;false;false;false;false;true;false;false;
"2018-03-29";"2018-03-29";"14:15";892,812,046;Jardim Ampliação;Talita;Marcos;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-03-29";"2018-03-29";"14:15";892,812,046;Jardim Ampliação;Talita;Marcos;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-03-27";"2018-03-27";"12:15";892,821,061;Vila Mariana;Igor;Ariel;"5";true;true;true;false;true;false;false;false;false;
"2018-03-29";"3/29/2018";"16:00";892,798,550;Pinheiros;João;Sonia;"4";false;false;false;false;false;false;false;false;false;esperava que viesse mobiliado, mas gostei do apartamento.
"2018-03-29";"2018-03-29";"11:30";892,823,952;Parque Reboucas;Felipe;Danilo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-03-27";"2018-03-27";"10:45";892,822,303;Ipanema;Celia;Marcio;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-03-29";"2018-03-29";"12:00";892,785,106;Brooklin Paulista;Alan;Manfred;"5";true;true;true;true;true;false;false;false;false;
"2018-03-29";"3/29/2018";"9:15";892,823,974;Santa Cecília;Renata;Sergio;"4";false;false;false;false;false;false;false;true;false;a cozinha é muito pequena + área se serviço.
"2018-03-29";"2018-03-29";"13:00";892,824,309;Barra Funda;Renata;Cindy;"5";false;true;true;true;true;false;false;false;false;
"2018-03-29";"2018-03-29";"9:45";892,816,892;Vila Industrial;Marcela;Antonio;"5";false;true;false;false;false;false;false;false;false;
"2018-03-27";"2018-03-27";"16:30";892,824,326;Bela Vista;Allan;Rosangela;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-03-29";"3/29/2018";"8:45";892,823,332;Vila Clementino;Ciro;Sylvia;"4";false;false;false;false;false;false;false;false;false;valor
"2018-03-29";"2018-03-29";"14:30";892,823,365;Jardim Botânico;Vivian;André;"5";true;true;true;true;true;false;false;false;false;
"2018-03-29";"2018-03-29";"8:45";892,823,332;Vila Clementino;Vitor;Sylvia;"5";false;false;false;true;true;false;false;false;false;
"2018-03-26";"2018-03-26";"9:45";892,824,258;Aclimação;Heitor;Nilton;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-03-29";"2018-03-29";"14:15";892,824,223;Bosque;Natalia;Marcos;"5";true;true;true;true;true;false;false;false;false;
"2018-03-29";"2018-03-29";"15:00";892,823,069;Copacabana;Daniel;Nelson;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-03-29";"2018-03-29";"12:15";892,812,838;República;Michel;Raimundo;"3";false;false;false;false;false;false;false;true;false;
"2018-03-29";"2018-03-29";"16:30";892,822,447;Brooklin Novo;Débora;Pablo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-03-27";"2018-03-27";"9:30";892,802,541;Vila Pompéia;Ana;Carlos;"5";false;false;false;false;true;false;false;false;false;
"2018-03-26";"3/26/2018";"8:45";892,819,062;Perdizes;Ana;Danilo;"1";false;false;false;false;false;false;true;false;true;apto em péssimas condições
"2018-03-26";"2018-03-26";"8:45";892,819,062;Perdizes;Ana;Danilo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-03-26";"2018-03-26";"8:45";892,819,062;Perdizes;Ana;Danilo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-03-26";"2018-03-26";"8:45";892,819,062;Perdizes;Ana;Danilo;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-03-29";"3/29/2018";"10:30";892,821,171;Vila Mariana;Tricia;Sandro;"5";true;true;true;false;true;false;false;false;false;sou vizinha, é perfeito para mim !
"2018-03-29";"2018-03-29";"15:30";892,821,171;Vila Mariana;Tricia;Claudir;Visita não aconteceu.;false;false;false;false;false;false;false;false;false;
"2018-03-29";"2018-03-29";"13:30";892,808,242;Bela Vista;Felipe;Maria;"5";false;true;true;false;true;false;false;false;false;
